osmid,y,x,street_count,highway,geometry
2003074374,45.6694267,25.5944621,1,,POINT (25.5944621 45.6694267)
2003074375,45.6701335,25.5950603,3,,POINT (25.5950603 45.6701335)
2003082073,45.6714709,25.5931056,3,,POINT (25.5931056 45.6714709)
2005036463,45.6682367,25.6004261,3,,POINT (25.6004261 45.6682367)
2005061821,45.668813,25.6046379,3,,POINT (25.6046379 45.668813)
2005061825,45.6689385,25.6067293,3,,POINT (25.6067293 45.6689385)
2005061829,45.6689782,25.6063325,3,,POINT (25.6063325 45.6689782)
2005061833,45.6703515,25.6069586,3,,POINT (25.6069586 45.6703515)
2005061836,45.6703945,25.6065063,4,,POINT (25.6065063 45.6703945)
2006604570,45.6681302,25.6049609,3,,POINT (25.6049609 45.6681302)
2006604580,45.669113,25.6074682,3,,POINT (25.6074682 45.669113)
2006604583,45.6691542,25.6067626,3,,POINT (25.6067626 45.6691542)
2006604593,45.6702746,25.6078672,3,,POINT (25.6078672 45.6702746)
2014736676,45.6689017,25.6306079,3,,POINT (25.6306079 45.6689017)
2014736677,45.6688902,25.6311095,3,,POINT (25.6311095 45.6688902)
2014736682,45.669149,25.6378526,3,,POINT (25.6378526 45.669149)
2014736685,45.6692473,25.6380098,3,,POINT (25.6380098 45.6692473)
2014736686,45.6694914,25.6376476,3,,POINT (25.6376476 45.6694914)
2014736692,45.6702617,25.6202047,3,,POINT (25.6202047 45.6702617)
2014751280,45.6739263,25.5933991,3,,POINT (25.5933991 45.6739263)
2014756357,45.6738241,25.5949665,3,,POINT (25.5949665 45.6738241)
2014762106,45.6759838,25.5953141,3,,POINT (25.5953141 45.6759838)
2014762107,45.672962,25.6047084,3,,POINT (25.6047084 45.672962)
2014762108,45.6757378,25.5969576,4,,POINT (25.5969576 45.6757378)
2014762110,45.6723459,25.6117518,3,,POINT (25.6117518 45.6723459)
2014762111,45.6755422,25.6001823,4,,POINT (25.6001823 45.6755422)
2015753196,45.6656028,25.6095348,3,,POINT (25.6095348 45.6656028)
2015753202,45.6658757,25.6092715,3,,POINT (25.6092715 45.6658757)
2017160895,45.6671622,25.6082992,3,,POINT (25.6082992 45.6671622)
2017160901,45.6683659,25.6102865,3,,POINT (25.6102865 45.6683659)
2017160906,45.6688095,25.6081763,3,,POINT (25.6081763 45.6688095)
2017160907,45.6690049,25.6081966,1,,POINT (25.6081966 45.6690049)
2019500016,45.6652891,25.6043231,3,,POINT (25.6043231 45.6652891)
2046127334,45.6687445,25.6305618,3,,POINT (25.6305618 45.6687445)
2046127337,45.6700564,25.6206917,3,,POINT (25.6206917 45.6700564)
2046127339,45.6701188,25.6201645,3,,POINT (25.6201645 45.6701188)
2046127341,45.6707077,25.6112029,3,,POINT (25.6112029 45.6707077)
2081265014,45.6545849,25.5749781,3,,POINT (25.5749781 45.6545849)
2081265015,45.6548975,25.5762508,2,,POINT (25.5762508 45.6548975)
2081265021,45.6546048,25.5756958,4,,POINT (25.5756958 45.6546048)
2081265026,45.6542782,25.575544,3,,POINT (25.575544 45.6542782)
2094255028,45.6323143,25.5831713,1,,POINT (25.5831713 45.6323143)
2094255038,45.6332429,25.576977,3,,POINT (25.576977 45.6332429)
2094255039,45.6336144,25.5825016,3,,POINT (25.5825016 45.6336144)
2094255040,45.6338796,25.5819448,3,,POINT (25.5819448 45.6338796)
2094255053,45.6357649,25.5737622,3,,POINT (25.5737622 45.6357649)
2133382061,45.6642946,25.5706142,3,,POINT (25.5706142 45.6642946)
2133388827,45.6648494,25.5707671,3,,POINT (25.5707671 45.6648494)
2133388828,45.6654955,25.5701843,1,,POINT (25.5701843 45.6654955)
2133388830,45.6646511,25.5703051,3,,POINT (25.5703051 45.6646511)
2133388831,45.6652219,25.5711687,1,,POINT (25.5711687 45.6652219)
2133388832,45.6648335,25.5707253,3,,POINT (25.5707253 45.6648335)
2133388833,45.6645658,25.5709568,1,,POINT (25.5709568 45.6645658)
2165262978,45.6841649,25.6165537,3,,POINT (25.6165537 45.6841649)
2165264207,45.6860826,25.6179011,4,,POINT (25.6179011 45.6860826)
2165268159,45.6729612,25.6438734,4,,POINT (25.6438734 45.6729612)
2165268336,45.6725335,25.643568,3,,POINT (25.643568 45.6725335)
2165268611,45.6760614,25.6427296,4,,POINT (25.6427296 45.6760614)
2165270000,45.6749496,25.647241,4,,POINT (25.647241 45.6749496)
2216131691,45.6091641,25.5533954,3,,POINT (25.5533954 45.6091641)
2216131757,45.6088561,25.5527312,3,,POINT (25.5527312 45.6088561)
2216136169,45.5985754,25.553708,3,,POINT (25.553708 45.5985754)
2216141626,45.5961363,25.556417,3,,POINT (25.556417 45.5961363)
2216141630,45.5959518,25.5573265,1,,POINT (25.5573265 45.5959518)
2216141631,45.5961998,25.5560015,3,,POINT (25.5560015 45.5961998)
2216141634,45.5965176,25.5542647,3,,POINT (25.5542647 45.5965176)
2229508750,45.616921,25.6524932,3,,POINT (25.6524932 45.616921)
2229508767,45.6158411,25.6559096,3,,POINT (25.6559096 45.6158411)
2264274332,45.6085217,25.6552239,3,,POINT (25.6552239 45.6085217)
2264708659,45.6475583,25.6549863,3,,POINT (25.6549863 45.6475583)
2264708665,45.6495338,25.6554031,3,,POINT (25.6554031 45.6495338)
2264731321,45.6188447,25.6390297,3,,POINT (25.6390297 45.6188447)
2264745335,45.6587795,25.6212983,3,,POINT (25.6212983 45.6587795)
2264745343,45.6587777,25.622181,3,,POINT (25.622181 45.6587777)
2264753066,45.6458848,25.5880818,3,,POINT (25.5880818 45.6458848)
2264753078,45.6449355,25.5993887,3,,POINT (25.5993887 45.6449355)
2264772748,45.6505042,25.6036377,3,,POINT (25.6036377 45.6505042)
2264772769,45.6502378,25.6043871,3,,POINT (25.6043871 45.6502378)
2264772774,45.650632,25.60392,3,,POINT (25.60392 45.650632)
2264772776,45.653629,25.6022338,3,,POINT (25.6022338 45.653629)
2264772818,45.6584423,25.5983749,3,,POINT (25.5983749 45.6584423)
2264772870,45.6533165,25.6015872,3,,POINT (25.6015872 45.6533165)
2265516090,45.6484021,25.5937804,3,,POINT (25.5937804 45.6484021)
2265531466,45.6662415,25.5927407,3,,POINT (25.5927407 45.6662415)
2265531471,45.6661078,25.5918798,3,,POINT (25.5918798 45.6661078)
2265531477,45.6665085,25.5987908,3,,POINT (25.5987908 45.6665085)
