,Unnamed: 0,Node_ID,Coordinates,Longitude,Latitude,page_rank,influence_factor_page_rank,influence_factor_page_rank_minMax,influence_factor_page_rank_norm
1971,1971,2296558467,"(25.5788171, 45.6572363)",25.5788171,45.6572363,0.0001587619803346,1.58761980334684e-05,0.024864590195523468,0.0031099243018719333
1972,1972,2298061157,"(25.6122006, 45.654372)",25.6122006,45.654372,0.0002021031020336,0.0001010515510168,0.212760536299656,0.019794580137291365
1973,1973,2298061158,"(25.6128283, 45.6567224)",25.6128283,45.6567224,0.0004357762201385,0.0002178881100692,0.4705007749224201,0.04268122173612849
1974,1974,2298061159,"(25.6126394, 45.6567398)",25.6126394,45.6567398,0.0003674870571465,0.0001837435285732,0.39517818194442467,0.03599277759176813
1975,1975,2298061160,"(25.6123939, 45.6543644)",25.6123939,45.6543644,0.0002747187023307,0.0001373593511653,0.2928551672100465,0.026906768445304152
1976,1976,2301772579,"(25.5879569, 45.6578061)",25.5879569,45.6578061,0.0004764092610358,4.7640926103584734e-05,0.09493725117578386,0.009332188571904288
1977,1977,2304013554,"(25.6485376, 45.6752204)",25.6485376,45.6752204,0.0003318522598572,3.318522598572833e-05,0.06304812650407524,0.006500519868709531
1978,1978,2304013559,"(25.6477692, 45.674573)",25.6477692,45.674573,0.0003346487351929,3.346487351929265e-05,0.06366502606544293,0.006555298894440809
1979,1979,2304013581,"(25.6508229, 45.6760941)",25.6508229,45.6760941,0.0003402004507893,3.4020045078930426e-05,0.06488972877338076,0.006664049208677628
1980,1980,2304013586,"(25.6493092, 45.6751941)",25.6493092,45.6751941,0.0003330797101643,3.330797101643623e-05,0.06331890076994715,0.0065245638969540646
1981,1981,2304013596,"(25.6461236, 45.6735359)",25.6461236,45.6735359,0.0003436960190499,3.4369601904995235e-05,0.06566084750961257,0.006732522483322634
1982,1982,2304013600,"(25.6482212, 45.6740238)",25.6482212,45.6740238,0.0003410583315722,3.4105833157220406e-05,0.06507897638516237,0.006680853888798302
1983,1983,2304013607,"(25.6503535, 45.6747951)",25.6503535,45.6747951,0.0003679594699962,3.679594699962626e-05,0.07101333964686306,0.007207809422841383
1984,1984,2304013617,"(25.6489561, 45.675496)",25.6489561,45.675496,0.000337169232854,3.371692328540604e-05,0.06422104523777872,0.006604671904985572
1985,1985,2304013623,"(25.6500209, 45.6746264)",25.6500209,45.6746264,0.000150270070408,1.5027007040804556e-05,0.022991283664925286,0.0029435797085726593
1986,1986,2304013625,"(25.6504752, 45.6763759)",25.6504752,45.6763759,0.0003543194914219,3.543194914219105e-05,0.06800437450694807,0.006940621392332022
1987,1987,2304013634,"(25.649524, 45.6729847)",25.649524,45.6729847,0.0003666546792056,3.666546792056803e-05,0.07072550415046965,0.007182250403106706
1988,1988,2304013636,"(25.6490176, 45.6745391)",25.6490176,45.6745391,0.0003411325016248,3.411325016248048e-05,0.06509533822191195,0.006682306775998172
1989,1989,2304013640,"(25.6499939, 45.6750651)",25.6499939,45.6750651,0.0003427610912343,3.4276109123431064e-05,0.06545460340224334,0.006714208560000243
1990,1990,2304013644,"(25.6511528, 45.6757546)",25.6511528,45.6757546,0.0003425813234556,3.4258132345566475e-05,0.06541494681654733,0.0067106871616004135
1991,1991,2307042003,"(25.6034795, 45.6730557)",25.6034795,45.6730557,0.000340933990095,3.409339900950712e-05,0.06505154678414805,0.006678418213829705
1992,1992,2307042004,"(25.6033422, 45.6722609)",25.6033422,45.6722609,0.0003359939899598,3.3599398995987564e-05,0.06396178787309457,0.006581650546663367
1993,1993,2307042006,"(25.6050039, 45.6751387)",25.6050039,45.6751387,0.0003731715445058,3.731715445058119e-05,0.07216311788297868,0.007309906645024202
1994,1994,2307042008,"(25.6044207, 45.6718614)",25.6044207,45.6718614,0.0003365767150568,3.3657671505681186e-05,0.06409033642566574,0.00659306531319911
1995,1995,2307042009,"(25.6032909, 45.6719332)",25.6032909,45.6719332,0.0003352668608439,3.3526686084390645e-05,0.0638013839435545,0.0065674071081298835
1996,1996,2308741598,"(25.570642, 45.6352623)",25.570642,45.6352623,0.0003700844729718,3.700844729718149e-05,0.07148211310136653,0.007249435247747879
1997,1997,2308741616,"(25.5700536, 45.6354762)",25.5700536,45.6354762,0.0001514408312342,1.51440831234232e-05,0.02324955229005327,0.0029665132694753475
1998,1998,2308988876,"(25.585348, 45.6348031)",25.585348,45.6348031,0.0004625076458375,4.625076458375068e-05,0.09187056926772184,0.009059875447254088
1999,1999,2308993188,"(25.5806773, 45.6321555)",25.5806773,45.6321555,0.0003190839641242,3.1908396412429304e-05,0.06023145369573707,0.006250406881268802
2000,2000,2309012120,"(25.5852246, 45.6337513)",25.5852246,45.6337513,0.0001808989148763,1.8089891487633388e-05,0.02974797501737744,0.003543555770532728
2001,2001,2309013330,"(25.5853212, 45.6347003)",25.5853212,45.6347003,0.0001808989148763,1.8089891487633388e-05,0.02974797501737744,0.003543555770532728
2002,2002,2309661514,"(25.6090896, 45.6509665)",25.6090896,45.6509665,0.0003847537407604,0.0003847537407604,0.8386046271849579,0.07536785608899942
2003,2003,2309716375,"(25.6217486, 45.6582358)",25.6217486,45.6582358,0.0003045347745724,3.045347745724544e-05,0.06040767362840407,0.005965408684191518
2004,2004,2309762588,"(25.6383472, 45.6439164)",25.6383472,45.6439164,0.0003902212205197,3.9022122051979065e-05,0.07592425874498648,0.007643885861352557
2005,2005,2309787988,"(25.6334927, 45.6346908)",25.6334927,45.6346908,0.0001772126043464,0.0001772126043464,0.38077103077278074,0.034713461226238244
2006,2006,2309788016,"(25.634211, 45.6345156)",25.634211,45.6345156,0.0002645698749743,0.0002645698749743,0.5734802645920545,0.05182552409533299
2007,2007,2309827731,"(25.6378107, 45.631022)",25.6378107,45.631022,0.0002949791949404,0.0002949791949404,0.6405629093394358,0.05778228294695543
2008,2008,2309827748,"(25.6373336, 45.6311111)",25.6373336,45.6311111,0.0002904216610227,0.0002904216610227,0.6305090367416258,0.05688952603768902
2009,2009,2309827763,"(25.6374624, 45.6309564)",25.6374624,45.6309564,0.0002930576417111,0.0002930576417111,0.636323982826511,0.05740587764686136
2010,2010,2309892281,"(25.6500952, 45.6188106)",25.6500952,45.6188106,0.0003398775022825,3.3987750228252906e-05,0.06481848666742164,0.006657723100831429
2011,2011,2309927466,"(25.6389272, 45.6810665)",25.6389272,45.6810665,0.0003713867845787,3.7138678457879466e-05,0.07176940169242614,0.007274945703756417
2012,2012,2309927467,"(25.6323724, 45.6789118)",25.6323724,45.6789118,0.0005401089644023,5.401089644023731e-05,0.10898933973354799,0.010579976330056317
2013,2013,2309927468,"(25.6307471, 45.681298)",25.6307471,45.681298,0.0001985171782028,1.985171782028485e-05,0.0336345456513671,0.0038886728140490774
2014,2014,2309955358,"(25.6298084, 45.6494952)",25.6298084,45.6494952,0.0003019606367262,0.0001509803183631,0.3229028797095161,0.02957492468864023
2015,2015,2309955361,"(25.6288333, 45.6495348)",25.6288333,45.6495348,0.0002718873330484,2.718873330484364e-05,0.06040767362840407,0.005325891139906355
2016,2016,2309981246,"(25.632778, 45.6333483)",25.632778,45.6333483,0.0002603834001127,0.0001301917000563,0.2770434031339593,0.025502726222838334
2017,2017,2310020937,"(25.6364926, 45.6451947)",25.6364926,45.6451947,0.000281985266325,2.819852663250525e-05,0.05204751940246359,0.005523695475865302
2018,2018,2310020962,"(25.6392716, 45.6342937)",25.6392716,45.6342937,0.0005628266517208,5.628266517208095e-05,0.11400083801619179,0.011024983930270148
2019,2019,2310910473,"(25.6425283, 45.6766064)",25.6425283,45.6766064,0.0003264071657657,3.26407165765746e-05,0.06184694438962525,0.006393858120061945
2020,2020,2310910474,"(25.6451834, 45.6781477)",25.6451834,45.6781477,0.0003099036507906,3.099036507906051e-05,0.05820628608685936,0.006070577431705065
2021,2021,2310914296,"(25.6471231, 45.6751929)",25.6471231,45.6751929,0.0002447809638693,2.447809638693949e-05,0.043840288831410834,0.004794915423505587
2022,2022,2311101855,"(25.5873736, 45.6783393)",25.5873736,45.6783393,0.0003432023397384,0.0003432023397384,0.7469426670812084,0.0672285199870729
2023,2023,2311185341,"(25.5800606, 45.6356331)",25.5800606,45.6356331,0.0004333105420408,4.333105420408264e-05,0.08542971842387337,0.008487945174967499
2024,2024,2311185342,"(25.580421, 45.6361267)",25.580421,45.6361267,0.0001611299508484,1.6112995084843854e-05,0.06040767362840407,0.0031563095197390642
2025,2025,2311185350,"(25.5797792, 45.6358062)",25.5797792,45.6358062,0.0004068375705865,4.068375705865577e-05,0.0795898083520467,0.007969376830740275
2026,2026,2311281442,"(25.5922524, 45.6578163)",25.5922524,45.6578163,0.0001416337289165,1.4163372891650276e-05,0.02108611568076751,0.0027744059036906967
2027,2027,2312107450,"(25.5624906, 45.6583012)",25.5624906,45.6583012,0.0004217938613383,0.0002108969306691,0.455078305607587,0.04131174784387271
2028,2028,2313090738,"(25.5805488, 45.6298954)",25.5805488,45.6298954,0.0001143890086576,1.1438900865760009e-05,0.015075958622315706,0.0022407200838725767
2029,2029,2313090743,"(25.5812252, 45.6325299)",25.5812252,45.6325299,0.0003556180899112,3.5561808991126754e-05,0.0682908439881076,0.006966059113579339
2030,2030,2313692027,"(25.6063511, 45.6723261)",25.6063511,45.6723261,0.000160800207992,1.6080020799208183e-05,0.02531422110475765,0.003149850320123447
2031,2031,2313692037,"(25.6073906, 45.6771744)",25.6073906,45.6771744,0.0003172547004664,3.1725470046649646e-05,0.05982792002828885,0.006214574174395783
2032,2032,2313722783,"(25.6438164, 45.6151956)",25.6438164,45.6151956,0.000170275563599,1.7027556359904895e-05,0.02740447473340137,0.003335459233597978
2033,2033,2313820371,"(25.5702514, 45.6378177)",25.5702514,45.6378177,0.0004739765419757,4.739765419757426e-05,0.09440059587187993,0.009284535020917471
2034,2034,2313858599,"(25.5791034, 45.6313836)",25.5791034,45.6313836,0.0001586565765543,1.586565765543118e-05,0.024841338230791533,0.003107859589795417
2035,2035,2314399465,"(25.580533, 45.6273021)",25.580533,45.6273021,0.000175081899438,1.7508189943806017e-05,0.02846474743921797,0.003429608604859213
2036,2036,2314660345,"(25.6039728, 45.6430945)",25.6039728,45.6430945,0.0001672640200987,1.6726402009870077e-05,0.026740131357750895,0.003276467324463728
2037,2037,2315768601,"(25.6301004, 45.6139023)",25.6301004,45.6139023,0.000584186673054,5.8418667305403855e-05,0.11871283658929654,0.011443396759920395
2038,2038,2315768606,"(25.6297405, 45.6133847)",25.6297405,45.6133847,0.0002133724368517,2.133724368517152e-05,0.03691160031646093,0.004179666475033356
2039,2039,2315768607,"(25.6313245, 45.6146714)",25.6313245,45.6146714,0.0003523058187264,3.5230581872642334e-05,0.06756016039686782,0.006901176371310554
2040,2040,2315772670,"(25.628625, 45.6156119)",25.628625,45.6156119,0.0002054607434065,2.0546074340658717e-05,0.035166288940470386,0.004024687508015588
2041,2041,2316882195,"(25.6359396, 45.6409215)",25.6359396,45.6409215,0.0003329316308447,3.329316308447019e-05,0.06328623462546813,0.006521663230976948
2042,2042,2318440113,"(25.6001508, 45.6592313)",25.6001508,45.6592313,0.0001165213241478,1.1652132414787442e-05,0.015546345209989723,0.002282489150676119
2043,2043,2319984218,"(25.634286, 45.6492178)",25.634286,45.6492178,0.000265787072217,2.6578707221702515e-05,0.04847421456661302,0.005206395594641864
2044,2044,2319984226,"(25.6342994, 45.6494159)",25.6342994,45.6494159,0.0001942204798417,1.942204798417649e-05,0.0326866984451009,0.00380450652547811
2045,2045,2322400489,"(25.5851929, 45.6508778)",25.5851929,45.6508778,0.0004233198492499,4.233198492499288e-05,0.083225781946441,0.008292241529564173
2046,2046,2322400490,"(25.5848723, 45.650634)",25.5848723,45.650634,0.0001661694909911,1.661694909911398e-05,0.026498679370761263,0.00325502703590387
2047,2047,2323958023,"(25.6215451, 45.6388728)",25.6215451,45.6388728,0.0003151724745519,3.151724745519124e-05,0.05936858314910988,0.006173786292057069
2048,2048,2323983830,"(25.6311832, 45.6414402)",25.6311832,45.6414402,0.0004430733081366,4.430733081366575e-05,0.08758337450854908,0.008679184056410726
2049,2049,2324751914,"(25.569333, 45.6560174)",25.569333,45.6560174,0.0003031645430936,3.031645430936349e-05,0.05671964591189273,0.0059385677732493175
2050,2050,2328345804,"(25.5973757, 45.6665904)",25.5973757,45.6665904,0.0003449134566794,3.449134566794125e-05,0.06592941298917677,0.006756370377269849
2051,2051,2335973219,"(25.5681461, 45.6652947)",25.5681461,45.6652947,0.0004225824893183,4.225824893183374e-05,0.06040767362840407,0.008277797683716137
2052,2052,2337461588,"(25.5551484, 45.6777548)",25.5551484,45.6777548,4.604798673335967e-05,4.604798673335967e-05,0.09142324343091976,0.009020154113249374
2053,2053,2337461593,"(25.5560908, 45.6784799)",25.5560908,45.6784799,0.000251618266224,2.516182662240556e-05,0.04534859064611585,0.004928848577445719
2054,2054,2337461598,"(25.5552902, 45.6789301)",25.5552902,45.6789301,0.000279337322773,2.7933732277305303e-05,0.051463385798660805,0.0054718259792453415
2055,2055,2337461601,"(25.5555102, 45.6790126)",25.5555102,45.6790126,0.0002361674993103,2.3616749931037976e-05,0.04194016747486386,0.0046261897456139145
2056,2056,2337461604,"(25.556255, 45.6798586)",25.556255,45.6798586,0.0001574092815557,0.0001574092815557,0.3370851058962231,0.030834268319045864
2057,2057,2337461641,"(25.5684462, 45.6882369)",25.5684462,45.6882369,0.0003660319962284,0.0003660319962284,0.7973046527399044,0.07170052917793637
2058,2058,2338144057,"(25.6293109, 45.6630589)",25.6293109,45.6630589,0.0002365028826648,2.3650288266485374e-05,0.04201415269534048,0.0046327594346687075
2059,2059,2340332499,"(25.5837946, 45.6647197)",25.5837946,45.6647197,0.0002875074137129,0.0002875074137129,0.6240802373732984,0.056318665904091146
2060,2060,2340332524,"(25.5835162, 45.6649659)",25.5835162,45.6649659,0.0002910543779712,0.0002910543779712,0.6319048037738774,0.057013466404910326
2061,2061,2350922372,"(25.6327507, 45.6335914)",25.6327507,45.6335914,0.0004737363482395,4.737363482395732e-05,0.09434760938256692,0.0092798299628444
2062,2062,2350922380,"(25.6347879, 45.6337401)",25.6347879,45.6337401,0.0001722413844037,0.0001722413844037,0.3698045710903872,0.03373966903259328
2063,2063,2361301150,"(25.6214574, 45.6423366)",25.6214574,45.6423366,0.0004992369183963,4.992369183963372e-05,0.09997300873575497,0.009779350330850197
2064,2064,2361301154,"(25.6219257, 45.6425772)",25.6219257,45.6425772,0.0001530919625392,1.530919625392776e-05,0.023613790145063287,0.002998856613645772
2065,2065,2361301156,"(25.6216633, 45.6424418)",25.6216633,45.6424418,0.0005273658121657,5.2736581216570245e-05,0.10617821355444451,0.010330355868408435
2066,2066,2371228066,"(25.5922953, 45.6652711)",25.5922953,45.6652711,0.000253000670097,0.000253000670097,0.5479587185114854,0.0495592792849947
2067,2067,2374989403,"(25.580365, 45.6454323)",25.580365,45.6454323,0.0003546438063902,3.5464380639021893e-05,0.06807591805290551,0.006946974267241223
2068,2068,2374989406,"(25.5841218, 45.6447154)",25.5841218,45.6447154,0.0003758116175821,3.758116175821553e-05,0.07274551526800703,0.007361621970075766
2069,2069,2374989408,"(25.5851389, 45.6440258)",25.5851389,45.6440258,0.000152983003661,1.5298300366100425e-05,0.023589753929418106,0.0029967222621925297
2070,2070,2382093633,"(25.6353767, 45.6221495)",25.6353767,45.6221495,0.0002502268001322,2.502268001322015e-05,0.0450416346680738,0.0049015917102463715
2071,2071,2382094667,"(25.5645515, 45.6367207)",25.5645515,45.6367207,0.0003769140028879,3.769140028879239e-05,0.07298870032418076,0.00738321615052885
2072,2072,2382102355,"(25.553311, 45.6026615)",25.553311,45.6026615,0.000493749784825,4.937497848250956e-05,0.09876255275564304,0.009671865087816266
2073,2073,2382118977,"(25.5783673, 45.6625634)",25.5783673,45.6625634,0.0001465810554364,7.329052771821725e-05,0.15152000655947573,0.01435658542224092
2074,2074,2383538425,"(25.5667721, 45.6601846)",25.5667721,45.6601846,0.0002752545792782,0.0002752545792782,0.597050611572795,0.05391850766123242
2075,2075,2388243371,"(25.5766837, 45.663038)",25.5766837,45.663038,0.0002933546525786,0.0002933546525786,0.6369791857226239,0.057464057905939205
