,Node_ID,Coordinates,Longitude,Latitude,page_rank,centrality,eigenvector,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality
2823,6620280863,"(25.5582203, 45.6982912)",25.5582203,45.6982912,0.00028504742807302486,0.001221001221001221,-2.0944171235169882e-17,0.019900986018465846,0.04423285835386697,0.044169324014267125,86.30195724807055
2824,3230589780,"(25.5445272, 45.6915973)",25.5445272,45.6915973,0.00015749410516201779,0.0006105006105006105,-1.0075663424938454e-16,0.020656439304128853,0.0,0.0,76.64476700527344
2825,3286887877,"(25.6393113, 45.6267284)",25.6393113,45.6267284,0.00022973094023836596,0.001221001221001221,9.350499024930667e-12,0.021458460205858877,0.015196824702503426,0.015201806188904581,83.13498632679463
2826,3904068691,"(25.6354016, 45.6240391)",25.6354016,45.6240391,0.0002488566434950675,0.001221001221001221,3.4158670700313757e-12,0.02108650520375128,0.014728982003489136,0.014733278686343996,117.93765131429629
2827,3286887912,"(25.6399485, 45.6270999)",25.6399485,45.6270999,0.00022164663268819858,0.0009157509157509158,1.1198584117587072e-11,0.021428730523238192,0.005097331815791667,0.005175997780462654,126.5115752475135
2828,3286887902,"(25.6398292, 45.6271745)",25.6398292,45.6271745,0.00018311772157445847,0.0009157509157509158,2.6610594744363124e-11,0.02182938598630197,0.019544138981168625,0.019678141514973616,83.81340802818062
2829,3286887908,"(25.6399872, 45.6272125)",25.6399872,45.6272125,0.00035224205776050683,0.001221001221001221,2.462967364583134e-10,0.0220235815397226,0.04278396418292296,0.04136745364739168,113.48583253853161
2830,3295326781,"(25.6555637, 45.6296247)",25.6555637,45.6296247,0.00031462488742648744,0.001221001221001221,7.865251985472716e-10,0.022034787112192374,0.026976686420904616,0.027050413421278632,75.32127168123874
2831,3295326787,"(25.6560012, 45.6296469)",25.6560012,45.6296469,0.0002986788531511179,0.0009157509157509158,9.547569814194576e-10,0.021809158798771437,0.001393125868576943,0.0013651912125194569,81.844413817514
2832,3295326783,"(25.6561228, 45.6296097)",25.6561228,45.6296097,0.0003003111699730794,0.0006105006105006105,2.97319525000222e-10,0.02134241746431932,0.0013937783119774788,0.0013658436559199918,61.49395815461061
2833,6433906370,"(25.6563366, 45.629709)",25.6563366,45.629709,0.00032119863896430494,0.0009157509157509158,9.258785936305297e-11,0.02089604172093123,0.0016991218234278583,0.0016711871673703734,99.26458849718378
2834,3295326793,"(25.6559487, 45.6298066)",25.6559487,45.6298066,0.0002789966598677985,0.0009157509157509158,2.279404891661219e-09,0.0211184498840056,0.026754980304532164,0.02686106502582335,102.27513065926256
2835,3295326796,"(25.6563334, 45.629804)",25.6563334,45.629804,0.00031926765011805946,0.0009157509157509158,2.883265338634886e-11,0.02046718146052723,0.0016997742668283967,0.0016718396107709085,103.62677901091091
