,Unnamed: 0,Node_ID,Coordinates,Longitude,Latitude,page_rank,centrality,eigenvector,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality
1884,1884,2279272083,"(25.5558545, 45.7019074)",25.5558545,45.7019074,0.4445176970713779,0.5555555555555556,6.313320859992467e-15,0.6243152814378359,0.21321749879302238,0.21540195940774104,0.7672388630403396
1885,1885,963628049,"(25.6119938, 45.6838661)",25.6119938,45.6838661,0.4111263508128776,0.5555555555555556,4.240101352707974e-14,0.6748150139539653,0.07611923481523125,0.07829181564659624,0.6494282166644405
1886,1886,963628072,"(25.6038227, 45.6860343)",25.6038227,45.6860343,0.4685147044300404,0.5555555555555556,2.0715189517844258e-14,0.6610836944184908,0.027824104461207613,0.028126372725815106,0.6750250703983385
1887,1887,11205542671,"(25.6109876, 45.68279)",25.6109876,45.68279,0.37936808094850705,0.5555555555555556,9.268606820019436e-14,0.688800177712733,0.09060711084803252,0.09317809026967805,0.7422968891918901
1888,1888,963628060,"(25.615668, 45.6827842)",25.615668,45.6827842,0.43630203648316107,0.5555555555555556,2.1377462454712504e-14,0.66566272667576,0.053160611662925884,0.053822757506398825,0.742531341537315
1889,1889,2165262978,"(25.6165537, 45.6841649)",25.6165537,45.6841649,0.4765938799128717,0.5555555555555556,1.2303903473772246e-14,0.6523218760634834,0.03822331947303541,0.03863856002321234,0.8888824927516054
1890,1890,9450117698,"(25.6155378, 45.682544)",25.6155378,45.682544,0.4716172975428732,0.5555555555555556,1.250704457615804e-14,0.6611127136819148,0.021653147706017385,0.020711963870706545,0.6579434730421777
1891,1891,5853108386,"(25.6038456, 45.6863656)",25.6038456,45.6863656,0.14814696804284622,0.1111111111111111,1.079066396712444e-14,0.6478363464303715,0.0,0.0,0.8442765141726866
1892,1892,3779148727,"(25.60231, 45.6861122)",25.60231,45.6861122,0.4943843510737004,0.5555555555555556,1.2029239890955137e-14,0.6478841213849396,0.020880620380947085,0.021107457830298826,0.6593418685549532
1893,1893,1005349776,"(25.5859104, 45.6336706)",25.5859104,45.6336706,0.17082649798917357,0.1111111111111111,6.330325078877465e-15,0.6673017400165854,0.0,0.0,0.8251378286093861
1894,1894,1005352886,"(25.5863396, 45.6343471)",25.5863396,45.6343471,0.5275664469525296,0.5555555555555556,6.3263855371336375e-15,0.6813657691661406,0.006968034446724083,0.007043731965861599,0.8159843293656704
1895,1895,2309012120,"(25.5852246, 45.6337513)",25.5852246,45.6337513,0.17082649798917357,0.1111111111111111,6.327688998646416e-15,0.6673017400165854,0.0,0.0,0.6459354668029175
1896,1896,1005353492,"(25.5810736, 45.6326665)",25.5810736,45.6326665,0.3503499711056686,0.5555555555555556,2.583470571192084e-15,0.5986043448142719,0.014963423067552162,0.015124250995555677,0.6185069041649883
