weather_data,day_of_week,holiday_data,traffic_incidents,intraffic_speed,average_speed,distance_value,time_of_day,hour
4,3,0,0,21.697485493230175,21.909375,3116,1,10
4,3,0,0,20.986175115207374,22.65671641791045,2530,1,10
4,3,0,0,22.36747252747253,22.870112359550564,2827,1,10
4,3,0,0,25.328219178082193,24.718716577540107,5136,1,10
4,3,0,0,25.97735849056604,26.197040169133192,3442,1,10
4,3,0,0,25.84309392265193,26.93435700575816,3898,1,10
4,3,0,0,22.416740088105726,22.870112359550564,2827,1,10
4,3,0,0,25.923012552301255,26.197040169133192,3442,1,10
4,3,0,0,20.93793103448276,22.65671641791045,2530,1,10
4,3,0,0,22.36747252747253,22.870112359550564,2827,1,10
4,3,0,0,22.71864406779661,23.794082840236687,2234,1,10
6,3,0,1,25.096875,25.56286472148541,2677,2,16
6,3,0,1,22.196891191709845,25.652694610778447,2380,2,16
6,3,0,1,19.928912466843503,27.7239852398524,2087,2,16
6,3,0,1,24.3979746835443,25.56286472148541,2677,2,16
6,3,0,1,22.013114754098364,25.28813559322034,3730,2,16
6,3,0,1,19.823746701846968,27.7239852398524,2087,2,16
6,3,0,1,22.196891191709845,25.652694610778447,2380,2,16
6,3,0,1,24.33636363636364,25.56286472148541,2677,2,16
6,3,0,1,22.13953488372093,25.652694610778447,2380,2,16
6,3,0,1,24.33636363636364,25.56286472148541,2677,2,16
6,3,0,1,24.214070351758796,25.56286472148541,2677,2,16
6,3,0,1,24.275062972292194,25.56286472148541,2677,2,16
6,3,0,1,21.466285714285714,27.7239852398524,2087,2,16
6,3,0,1,22.48643216080402,25.376937618147448,3729,2,16
6,3,0,1,22.568067226890758,25.28813559322034,3730,2,16
6,3,0,1,24.3979746835443,25.56286472148541,2677,2,16
6,3,0,1,21.34431818181818,27.7239852398524,2087,2,16
6,3,0,1,22.76542372881356,25.29491525423729,3731,2,16
6,3,0,1,25.861016949152543,28.698432601880878,2543,2,16
6,3,0,1,24.3979746835443,25.56286472148541,2677,2,16
6,3,0,1,24.33636363636364,25.56286472148541,2677,2,16
6,3,0,1,24.214070351758796,25.56286472148541,2677,2,16
6,3,0,1,24.3979746835443,25.56286472148541,2677,2,16
6,3,0,1,21.283852691218133,27.7239852398524,2087,2,16
6,3,0,1,24.15338345864662,25.56286472148541,2677,2,16
6,3,0,1,21.283852691218133,27.7239852398524,2087,2,16
6,3,0,1,21.96842105263158,27.7239852398524,2087,2,16
6,3,0,1,22.547368421052635,25.652694610778447,2380,2,16
6,3,0,1,25.03168831168831,25.56286472148541,2677,2,16
6,3,0,1,27.085207100591717,28.698432601880878,2543,2,16
6,3,0,1,26.890293453724606,27.703255813953486,3309,2,16
6,3,0,1,21.96842105263158,27.7239852398524,2087,2,16
6,3,0,1,21.840697674418603,27.7239852398524,2087,2,16
6,3,0,1,21.840697674418603,27.7239852398524,2087,2,16
6,3,0,1,21.96842105263158,27.7239852398524,2087,2,16
6,3,0,1,21.840697674418603,27.7239852398524,2087,2,16
6,3,0,1,22.547368421052635,25.652694610778447,2380,2,16
6,3,0,1,25.03168831168831,25.56286472148541,2677,2,16
6,3,0,1,25.03168831168831,25.56286472148541,2677,2,16
6,3,0,1,22.666666666666668,25.652694610778447,2380,2,16
6,3,0,1,22.547368421052635,25.652694610778447,2380,2,16
6,3,0,1,21.840697674418603,27.7239852398524,2087,2,16
6,3,0,1,25.03168831168831,25.56286472148541,2677,2,16
6,3,0,1,22.547368421052635,25.652694610778447,2380,2,16
6,3,0,1,22.547368421052635,25.652694610778447,2380,2,16
6,3,0,1,22.547368421052635,25.652694610778447,2380,2,16
6,3,0,1,25.788169014084506,28.698432601880878,2543,2,17
6,3,0,1,21.223728813559323,27.7239852398524,2087,2,17
6,3,0,1,18.720000000000002,21.724444444444444,2444,2,17
6,3,0,1,24.15338345864662,25.56286472148541,2677,2,17
6,3,0,1,22.606860158311346,25.652694610778447,2380,2,17
6,3,0,1,21.283852691218133,27.7239852398524,2087,2,17
6,3,0,1,22.12191103789127,25.28813559322034,3730,2,17
6,3,0,1,22.20099173553719,25.34264150943396,3731,2,17
6,3,0,1,19.32656875834446,22.167840735068914,4021,2,17
6,3,0,1,24.15338345864662,25.56286472148541,2677,2,17
6,3,0,1,25.788169014084506,28.698432601880878,2543,2,17
6,3,0,1,24.15338345864662,25.56286472148541,2677,2,17
